"entry_id","institution","open_data_platform","open_data_volume"
"2AV1EnMTVFQWa2MBzYvX5e","Musica Brasilis","Own website","1,540"
"2Bd6dDhsyGJSWup56jxQ5a","Patrimônio Belga no Brasil","Wikimedia Commons","33"
"1MTUNZnNTfAN8ue3BCCfpQ","Museu Histórico Nacional","Wikimedia Commons","344"
"6DDczSR1XrOt5mtdmvfEAv","Museu Republicano ""Convencão de Itú""","Wikimedia Commons","74"
"4avaGrMHBrrStGJQLzULZh","Núcleo de Pesquisa em Estudos de Linguagem em Arquitetura e Cidade","Wikimedia Commons","787"
"3ufhAyV26kjV1bkIFdfsxQ","Musica Brasilis","Wikimedia Commons","1,526"
"240PLsGkCwfuEuJn7coj8j","Museu Paulista (Museu do Ipiranga)","Wikimedia Commons","33,128"
"4U8CZ3v7uauZQVBSjfpvqW","Projeto Eliseu Visconti","Wikimedia Commons","4,384"
"5YJC6tMGJP3zRc5HKho0PX","Museu do Futebol","Wikimedia Commons","109"
"5ndzgf5wKPMiWgWctwV8J5","Museu Nacional","Wikimedia Commons","3,867"
"1OcHbXIFpwgS3zidUIfMuP","Регионална библиотека ""Дора Габе""","Europeana","89"
"4buSUS7fuGvrC4PbNbsHNa","Институт за балканистика с център по тракология","Europeana","497"
"24V0ZELkpF9IRUgAIDMooj","Senado Federal do Brasil","Flickr Commons","499"
"12ydzfL4HvtsVRryVBUWKt","NALIS Foundation","Europeana","15,926"
"2GgwtbUy1lIJZT4ULVh0w1","Universidade Federal de Alagoas","Wikimedia Commons","200"
"1tBOV7hvmx9FwKT4QHktrk","Библиотека РОДИНА - Стара Загора","Europeana","1,004"
"5OcJVXhmuz4W1YZXOPU0zh","Национална библиотека „Св. св. Кирил и Методий“","Europeana","2,045"
"66JLdLlVfoaxBZWpEdCCSR","Държавна агенция „Архиви","Wikimedia Commons","14,014"
"4iYZu3oIoiLGjGYrkuR1LP","San Carlos","Wikimedia Commons","2,632"
"5nGkDZX20OERIoKyt5PTe6","Институт за български език при БАН","Europeana","14"
"7zvYrDskcqZPmtDZh5o73w","Archives of Ontario","Wikimedia Commons","8,387"
"w92mFX9bW1L5qgKgedynk","Bibliothèque et Archives nationales du Québec (BAnQ)","Own website","0"
"33W51qtAe3xtlqVi1Daz4u","Bibliothèque et Archives nationales du Québec (BAnQ)","Wikimedia Commons","5,304"
"2AkdUUaUoHNoRGJfebISpd","Cloyne Pioneer Museum and Archives","Flickr Commons","2,236"
"39f6ngnHym9n8dnk0TZMrm","Регионална библиотека ""Пенчо Славейков"" (Pencho Slaveykov Regional Library)","Europeana","150,024"
"1Mdf7EX9S4NGJQ7g6A1HAk","Doual'art","Wikimedia Commons","3,928"
"3cPPcRuTBKC3U9jGDFuLUJ","Archives of the Law Society of Ontario","Flickr Commons","5,429"
"6tnrwS1QQWfjO8qD6aQkYp","Canada Agriculture and Food Museum","Own website","0"
"012vCMfqvbcOdX4E39DJij","Canada Aviation and Space Museum","Own website","0"
"235Rwsu8e0h7whSRABNiZm","Canada Science and Technology Museum","Own website","0"
"1ZyTlVG5OW4LcGwBeR2MdO","Регионална библиотека „ХРИСТО СМИРНЕНСКИ“ - Хасково","Europeana","146"
"10eGxceNlneHIFGmdLirAU","Musée McCord","Flickr Commons","689"
"1p4hQpBHhS8GGTJdCDuuoj","Hamilton Public Library","Flickr Commons","751"
"1dY6H8u9APNe8qOHh6WDMB","Dundas Museum & Archives","Flickr Commons","870"
