id,open_data_platform,open_data_volume,institution_id,institution_name
5XNrJ2Z07hkwD8hvO8EKGm,Coding Da Vinci,0,1afbccad43ef4737b49253077ebf8d54,Georg-August-Universität Göttingen. Physicalisches Cabinet
3mRiF5cL8otZwEnr4wSew1,Coding Da Vinci,"4,743",d343436c1a124a7081e1f9940013a4d1,Generaldirektion der staatlichen Archive Bayerns
1HWbVFdEMyBKG5NM400wRR,Coding Da Vinci,38,db588dd9e8fa4d669b8e442fc0a33107,Europäisches Brotmuseum
WmqbMsgZHl0xyRJhQR1ag,Coding Da Vinci,0,a322692fdeeb42538905dc9237b1b6cb,Deutsches Filminstitut - DIF
72xqokK5eQztwmWj4cxc1k,Coding Da Vinci,0,55b6bef0fe514c8ca58fee60a922f2ec,Computerspielemuseum
3LUZZrNxwqSqW0n8biYqaZ,Coding Da Vinci,0,24e9a8085d3f4eb293027cfe169d3230,Deutsches Museum
AoGo9tajZssVwDiMllGad,Other,"1,000,000",24e9a8085d3f4eb293027cfe169d3230,Deutsches Museum
4gPdwCHo8YXinZ62SPooMx,German Digital Library,"94,387",d79f8242aea44e088943effbbb84d122,Christian-Albrechts-Universität zu Kiel
4Ntlz3pw4RD9lkmVpkG9Wt,Coding Da Vinci,0,d79f8242aea44e088943effbbb84d122,Christian-Albrechts-Universität zu Kiel
590rQLpscS580EonmBmhyc,Coding Da Vinci,"4,991",34a593b51ab346b5a127ebce0f126a9a,Deutsches Technikmuseum
GTArWrkHXAh9wIYBMinXc,Wikimedia Commons,"63,820",e8df469acc444dd28269f55a7dbe6d70,Deutsche Fotothek
yjxQCmvZZMwymWoB3OvbD,Sketchfab,60,8d604099bd034cc69f4a8466c776710a,Digitales Naturhistorisches Archiv Darmstadt
254HTMI8vpNSrZauOq1TXw,Coding Da Vinci,0,91d07675dabb4ca19dc22bfe211a3383,Deutsches Buch- und Schriftmuseum der Deutschen Nationalbibliothek
7F0zaj0drOLvVGYfUorNOv,Coding Da Vinci,122,ee676c80fc9746928f539f9c28fd0a73,Deutsches Spielearchiv Nürnberg
5TXHO6Za78cnyMt8VEfSpD,Coding Da Vinci,128,384b69c5a607455aa3302bc9e93779c2,DB Museum Nürnberg
6twDPRDG4WmnMF8uxUfUyM,German Digital Library,"33,521",f90dc50e890f4d3fbdac74a3427e640c,Bauhaus-Universität Weimar
581lfk4krJLJREalXgvBVR,Coding Da Vinci,0,9fcd165c178747c18fd38a8acc5d9bc9,Braunschweigisches Landesmuseum
4zntJ1dNmpJCmqFKRlPNXM,Wikimedia Commons,"32,039",c1c6844c87f64fb68a05ebe503e22f5e,Brück & Sohn Kunstverlag Meißen
V5RngO4Ri9IotbqikzLeQ,Coding Da Vinci,104,dda4dd5f360747d48c61546e4c7da2dd,Carl von Ossietzky Universität Oldenburg. Universitätsarchiv
5g6bv9CEVCRjHTpR1ozYmw,Coding Da Vinci,0,99f71f8ad0384693938868b8d83ebb2c,Botanischer Garten und Botanisches Museum Berlin
6oS8UrT5yWmh49k8rzNZzz,Europeana,"17,553",3726ba81c3a64af99cb802879c66a2d8,Bundesanstalt für Wasserbau (BAW) Infozentrum Wasserbau
2tveHHxfKf3F9MSlVzZRSG,Wikimedia Commons,"85,727",e872c88db35f4009a6584f6eb7968a51,Bundesarchiv
2HcXf6XhTSa8kU6ddj1Czt,German Digital Library,"362,084",fbbf095811844a4daf8a1de6d49b5eae,Bibliothek für Bildungsgeschichtliche Forschung
4yt3pNTIV9mwTW94ZLav3I,Coding Da Vinci,0,23334188d31c4d39a6387b099b0849ef,Anhaltische Landesbücherei Dessau
5Raq4Mwea8VKC7Ar2cTxOj,Europeana,"1,628",281c3f96692c4e1a9150bf0482880602,Archiv der deutschen Frauenbewegung
33Qhb4ilcBdK1TVCfTh3Tr,Flickr Commons,"2,058",39a8a81eb06f41528419fb337fdbb01e,Université de Caen Normandie
4eFxItwrj9A1DaiHdTXpOa,Coding Da Vinci,20,09feea5dfc324b479fa8196491f99b9c,AutoMuseum Volkswagen
1vg86ttgxT42wHBqD27wSp,Own website,"91,471",75224be58f774595847831201e1d8e7e,Architekturmuseum der TU Berlin
2Y18XD3WgkB7gyUuMnGTvk,Europeana,"89,534",75224be58f774595847831201e1d8e7e,Architekturmuseum der TU Berlin
390pJpnseDOvvpkLoYRBMj,Coding Da Vinci,0,75224be58f774595847831201e1d8e7e,Architekturmuseum der TU Berlin
5F3zSJWQrUsWlXtur32tCQ,Europeana,"5,045",a3157d726e434858ad44d456397dce89,AlliiertenMuseum
1wuiePnK8ReCyEJwAoYaah,Coding Da Vinci,"32,000",e3673644a8f7431392cf1aaa007645b9,Arolsen Archives
5hrauoJgRDvHT3ZNNbxPIs,Wikimedia Commons,"2,739",a44b560a346841fdb164834b4efd330b,Université Bordeaux Montaigne
5KNTMlzMnxNdtJMtX4pIva,Wikimedia Commons,"2,038",6b4b0fb26b064673ab494b1eac262782,Musées départementaux de la Haute-Saône
79FIV3roZ8CnMQm4J0zAAy,Wikimedia Commons,489,3358ec037cbd4cefaf0be995d5d2c0fb,Muséum de Toulouse
6LMhCXBSD9k2NndRI37hX4,Wikimedia Commons,89,60dc9c3c2c794357ba1fd70c89019c8c,Musée des Beaux-Arts de Nancy
6AAP1hC1pgD4assKsNTtAE,Europeana,"481,540",1033b8cf6de0461c8b0132f767f8865f,Muséum national d'Histoire naturelle
1NkGF9lisR2ar4oFyaVW2p,Wikimedia Commons,181,31bbe9af379f4629b9180ca633410f0e,Musée de Die
4gK8lmNocQF8hmqPaHxhpT,Own website,"212,566",707db9f2939a4ca382ef4b0ca2a1b778,Musée de Bretagne
4WkpHNZ0UJtvcZYppXo0x2,Wikimedia Commons,221,707db9f2939a4ca382ef4b0ca2a1b778,Musée de Bretagne
4zdvmZc5WSI2DVyTeio7Po,Own website,"68,970",1dec2c45b283421689422b948396abc3,Musée départemental Albert-Kahn
5tCso8Lrj80sGVqVUOw7F1,Own website,"3,824",7de2e8b52f164781aaffffc2768095fa,Médiathèque François-Mitterrand de Poitiers
